comparison,Accession,pval,std_error,diff,missingness,n_obs,adj_pval
5_vs_CTR,O15145,0.009155484817355005,0.6013942750260187,-3.5760533490603628,complete,6,0.8524512407489144
5_vs_CTR,Q9NQT4,0.009205540007122886,0.36156876359340884,2.263015510199711,complete,6,0.8524512407489144
5_vs_CTR,P02533,0.009947467140404403,1.1398668589764682,5.75900965975606,MNAR,6,0.8524512407489144
1.5_vs_CTR,Q86VI4,0.00433373498470478,0.9458071620112973,5.522000015274333,MNAR,6,0.866369005020658
1.5_vs_CTR,Q9P2W1,0.004957458809952575,0.7703172563909599,-5.028106805483066,MAR,6,0.866369005020658
1.5_vs_CTR,Q8N335,0.005176882531400189,0.27454413595143334,-3.0989063972881112,complete,6,0.866369005020658
1.5_vs_CTR,Q99829,0.005373267761515461,0.7235378680242727,-4.409884251026551,complete,6,0.866369005020658
1.5_vs_CTR,Q96FK6,0.005414789027974334,0.5641845238694948,3.7349386932850237,MNAR,6,0.866369005020658
1.5_vs_CTR,Q96T58,0.005759985006467345,0.9468753194423754,-5.224400359599166,MAR,6,0.866369005020658
1.5_vs_CTR,Q14331,0.005966096010490035,0.8328089307463448,-4.528622472052465,MNAR,6,0.866369005020658
1.5_vs_CTR,O95785,0.007514042139489043,0.7906001372554357,-5.519719434518652,MAR,6,0.866369005020658
1.5_vs_CTR,Q8N183,0.00896170909246913,0.49061931199137265,-2.9480838884086644,MAR,6,0.866369005020658
1.5_vs_CTR,Q9NR31,0.009477637755418364,1.486912825266175,6.957852194910217,MNAR,6,0.866369005020658
1.5_vs_CTR,Q86W56,0.009707364336188455,0.7695111178298077,6.3985458803551705,MNAR,6,0.866369005020658
